labels(n),n,keys(n)
"[""Vector""]","{""hasVector_K"":""\""1.000000\"""",""hasVector_J"":""\""0.000000\"""",""name"":""z_axis_kit_m2l1_vessel_mg_1"",""type"":""individual"",""hasVector_I"":""\""0.000000\""""}","[""hasVector_K"",""hasVector_J"",""type"",""hasVector_I"",""name""]"
"[""Vector""]","{""hasVector_K"":""\""1.000000\"""",""hasVector_J"":""\""0.000000\"""",""name"":""z_axis_part_medium_gear_vessel_mg_2"",""type"":""individual"",""hasVector_I"":""\""0.000000\""""}","[""hasVector_K"",""hasVector_J"",""type"",""hasVector_I"",""name""]"
"[""Vector""]","{""hasVector_K"":""\""0.000000\"""",""hasVector_J"":""\""0.000000\"""",""name"":""fanuc_cart_x_axis"",""hasVector_I"":""\""1.000000\"""",""type"":""individual""}","[""hasVector_J"",""hasVector_I"",""hasVector_K"",""name"",""type""]"
"[""Class""]","{""name"":""Robot""}","[""name""]"
"[""Robot""]","{""name"":""fanuc_robot"",""hasRobot_MaximumLoadWeight"":""\""7.000000\"""",""type"":""individual"",""hasRobot_Description"":""\""This is the Fanuc robot 2\""""}","[""hasRobot_MaximumLoadWeight"",""hasRobot_Description"",""name"",""type""]"
"[""BoxVolume""]","{""name"":""box_volume_1"",""type"":""individual""}","[""name"",""type""]"
"[""PoseOnlyLocation""]","{""name"":""robot_location"",""type"":""individual""}","[""name"",""type""]"
"[""Class""]","{""name"":""GripperParallel""}","[""name""]"
"[""Class""]","{""name"":""Polygon2D""}","[""name""]"
"[""Class""]","{""name"":""VacuumEffectorSingleCup""}","[""name""]"
"[""Class""]","{""name"":""VacuumEffector""}","[""name""]"
"[""Class""]","{""name"":""PartsVessel""}","[""name""]"
"[""Class""]","{""name"":""InternalShape""}","[""name""]"
"[""Class""]","{""name"":""PartsTray""}","[""name""]"
"[""PartsTray""]","{""name"":""kit_m2l1_vessel_2"",""visioncycle"":0,""type"":""individual"",""hasPartsVessel_SerialNumber"":""\""7\"""",""hasPartsTray_Complete"":""\""false\""""}","[""visioncycle"",""hasPartsTray_Complete"",""type"",""hasPartsVessel_SerialNumber"",""name""]"
"[""PoseOnlyLocation""]","{""name"":""kit_m2l1_location_2"",""type"":""individual""}","[""type"",""name""]"
"[""PartsTrayDesign""]","{""name"":""kit_m2l1_vessel_design"",""type"":""individual""}","[""type"",""name""]"
"[""StockKeepingUnit""]","{""hasStockKeepingUnit_Description"":""\""SKU for KitTrays that hold 2 medium and 1 large gears\"""",""name"":""sku_kit_m2l1_vessel"",""type"":""individual"",""hasStockKeepingUnit_Weight"":""\""0.200000\""""}","[""type"",""hasStockKeepingUnit_Weight"",""name"",""hasStockKeepingUnit_Description""]"
"[""PartsTray""]","{""name"":""large_gear_vessel_1"",""visioncycle"":0,""type"":""individual"",""hasPartsVessel_SerialNumber"":""\""8\"""",""hasPartsTray_Complete"":""\""true\""""}","[""visioncycle"",""hasPartsTray_Complete"",""type"",""hasPartsVessel_SerialNumber"",""name""]"
"[""PoseOnlyLocation""]","{""name"":""large_gear_vessel_1_location"",""type"":""individual""}","[""type"",""name""]"
